City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,caravelas,-17.7125,-39.2481,23.04,94,18,1.22,BR,1680843135
170,somerset,40.5668,-74.5496,16.92,55,100,4.3,US,1680843082
171,waipawa,-41.4122,175.5153,11.27,66,92,4.74,NZ,1680843137
172,marienburg,54.0359,19.0266,5.47,99,100,3.87,PL,1680843137
173,meulaboh,4.1363,96.1285,29.44,65,73,1.52,ID,1680843138
174,laibin,23.7,109.2667,22.64,52,4,3.48,CN,1680843138
175,faanui,-16.4833,-151.75,28.61,74,100,7.27,PF,1680843139
176,barcelos,41.5388,-8.6151,14.82,57,31,1.89,PT,1680843139
177,ipora,-16.4419,-51.1178,19.97,92,98,0.22,BR,1680843140
178,ust-koksa,50.2696,85.6108,7.51,38,44,1.4,RU,1680843141
179,portland,45.5234,-122.6762,11.92,95,100,7.2,US,1680842495
180,vostok,46.4856,135.8833,3.4,79,90,2.63,RU,1680843142
181,bonavista,48.6499,-53.1147,-1.1,84,99,6.67,CA,1680843143
182,peniche,39.3558,-9.3811,13.58,60,8,1.51,PT,1680843143
183,kihei,20.785,-156.4656,23.8,82,40,6.69,US,1680842918
184,bograd,54.2344,90.8328,12.25,30,90,7.71,RU,1680843144
185,san patricio,28.017,-97.5169,18.92,97,100,2.39,US,1680843145
186,mongoumba,3.6415,18.5936,21.55,93,71,1.55,CF,1680843146
187,matola,-25.9622,32.4589,21.4,93,40,2.06,MZ,1680843146
188,besuki,-7.7338,113.6979,27.56,80,100,1.93,ID,1680843147
189,ngama,11.7833,17.1667,26.21,27,83,0.24,TD,1680843147
190,sinnamary,5.3833,-52.95,24.4,84,55,4.59,GF,1680843148
191,nsanje,-16.92,35.262,20.48,92,2,0.8,MW,1680843149
192,ayagoz,47.9714,80.4392,11.32,42,87,7.67,KZ,1680843150
193,manzhouli,49.6,117.4333,2.12,16,0,6.86,CN,1680843150
194,sao joao da barra,-21.6403,-41.0511,22.8,89,71,1.87,BR,1680843151
195,portoferraio,42.8115,10.3146,10.32,60,13,2.13,IT,1680843151
